timestamp,source_ip,target_ip,source_port,target_port,packet_size,attack_mode,label,packet_length,packet_summary
2024-04-21T17:23:09.654028,192.168.1.100,192.168.31.185,50375,100,60,http,normal,80,IP / TCP 192.168.1.100:50375 > 192.168.31.185:http PA / Raw
2024-04-21T17:23:09.661010,192.168.1.100,192.168.31.185,24765,100,60,http,normal,80,IP / TCP 192.168.1.100:24765 > 192.168.31.185:http PA / Raw
2024-04-21T17:23:09.668989,192.168.1.100,192.168.31.185,34512,100,60,http,normal,80,IP / TCP 192.168.1.100:34512 > 192.168.31.185:http PA / Raw
2024-04-21T17:23:09.676968,192.168.1.100,192.168.31.185,34851,100,60,http,normal,80,IP / TCP 192.168.1.100:34851 > 192.168.31.185:http PA / Raw
2024-04-21T17:23:09.684946,192.168.1.100,192.168.31.185,45855,100,60,http,normal,80,IP / TCP 192.168.1.100:45855 > 192.168.31.185:http PA / Raw
2024-04-21T17:23:09.691927,192.168.1.100,192.168.31.185,49799,100,60,http,normal,80,IP / TCP 192.168.1.100:49799 > 192.168.31.185:http PA / Raw
2024-04-21T17:23:09.697912,192.168.1.100,192.168.31.185,7145,100,60,http,normal,80,IP / TCP 192.168.1.100:7145 > 192.168.31.185:http PA / Raw
2024-04-21T17:23:09.702898,192.168.1.100,192.168.31.185,4329,100,60,http,normal,80,IP / TCP 192.168.1.100:4329 > 192.168.31.185:http PA / Raw
2024-04-21T17:23:09.710877,192.168.1.100,192.168.31.185,39297,100,60,http,normal,80,IP / TCP 192.168.1.100:39297 > 192.168.31.185:http PA / Raw
2024-04-21T17:23:09.721848,192.168.1.100,192.168.31.185,4209,100,60,http,normal,80,IP / TCP 192.168.1.100:4209 > 192.168.31.185:http PA / Raw
2024-04-21T17:23:09.730824,192.168.1.100,192.168.31.185,34862,100,60,http,normal,80,IP / TCP 192.168.1.100:34862 > 192.168.31.185:http PA / Raw
2024-04-21T17:23:09.737805,192.168.1.100,192.168.31.185,54173,100,60,http,normal,80,IP / TCP 192.168.1.100:54173 > 192.168.31.185:http PA / Raw
2024-04-21T17:23:09.746781,192.168.1.100,192.168.31.185,64466,100,60,http,normal,80,IP / TCP 192.168.1.100:64466 > 192.168.31.185:http PA / Raw
2024-04-21T17:23:09.753762,192.168.1.100,192.168.31.185,50995,100,60,http,normal,80,IP / TCP 192.168.1.100:50995 > 192.168.31.185:http PA / Raw
2024-04-21T17:23:09.760743,192.168.1.100,192.168.31.185,36116,100,60,http,normal,80,IP / TCP 192.168.1.100:36116 > 192.168.31.185:http PA / Raw
2024-04-21T17:23:09.765730,192.168.1.100,192.168.31.185,25058,100,60,http,normal,80,IP / TCP 192.168.1.100:25058 > 192.168.31.185:http PA / Raw
2024-04-21T17:23:09.774705,192.168.1.100,192.168.31.185,21776,100,60,http,normal,80,IP / TCP 192.168.1.100:21776 > 192.168.31.185:http PA / Raw
2024-04-21T17:23:09.781688,192.168.1.100,192.168.31.185,16983,100,60,http,normal,80,IP / TCP 192.168.1.100:16983 > 192.168.31.185:http PA / Raw
2024-04-21T17:23:09.788668,192.168.1.100,192.168.31.185,37754,100,60,http,normal,80,IP / TCP 192.168.1.100:37754 > 192.168.31.185:http PA / Raw
2024-04-21T17:23:09.792658,192.168.1.100,192.168.31.185,17480,100,60,http,normal,80,IP / TCP 192.168.1.100:17480 > 192.168.31.185:http PA / Raw
2024-04-21T17:23:09.797644,192.168.1.100,192.168.31.185,5997,100,60,http,normal,80,IP / TCP 192.168.1.100:5997 > 192.168.31.185:http PA / Raw
2024-04-21T17:23:09.801634,192.168.1.100,192.168.31.185,28816,100,60,http,normal,80,IP / TCP 192.168.1.100:28816 > 192.168.31.185:http PA / Raw
2024-04-21T17:23:09.807618,192.168.1.100,192.168.31.185,46220,100,60,http,normal,80,IP / TCP 192.168.1.100:46220 > 192.168.31.185:http PA / Raw
2024-04-21T17:23:09.812604,192.168.1.100,192.168.31.185,54885,100,60,http,normal,80,IP / TCP 192.168.1.100:54885 > 192.168.31.185:http PA / Raw
2024-04-21T17:23:09.816594,192.168.1.100,192.168.31.185,59130,100,60,http,normal,80,IP / TCP 192.168.1.100:59130 > 192.168.31.185:http PA / Raw
2024-04-21T17:23:09.821580,192.168.1.100,192.168.31.185,48088,100,60,http,normal,80,IP / TCP 192.168.1.100:48088 > 192.168.31.185:http PA / Raw
2024-04-21T17:23:09.825570,192.168.1.100,192.168.31.185,9300,100,60,http,normal,80,IP / TCP 192.168.1.100:9300 > 192.168.31.185:http PA / Raw
2024-04-21T17:23:09.830558,192.168.1.100,192.168.31.185,20215,100,60,http,normal,80,IP / TCP 192.168.1.100:20215 > 192.168.31.185:http PA / Raw
2024-04-21T17:23:09.836541,192.168.1.100,192.168.31.185,52117,100,60,http,normal,80,IP / TCP 192.168.1.100:52117 > 192.168.31.185:http PA / Raw
2024-04-21T17:23:09.841527,192.168.1.100,192.168.31.185,20633,100,60,http,normal,80,IP / TCP 192.168.1.100:20633 > 192.168.31.185:http PA / Raw
2024-04-21T17:23:09.847511,192.168.1.100,192.168.31.185,30993,100,60,http,normal,80,IP / TCP 192.168.1.100:30993 > 192.168.31.185:http PA / Raw
2024-04-21T17:23:09.853495,192.168.1.100,192.168.31.185,11524,100,60,http,normal,80,IP / TCP 192.168.1.100:11524 > 192.168.31.185:http PA / Raw
2024-04-21T17:23:09.859479,192.168.1.100,192.168.31.185,6261,100,60,http,normal,80,IP / TCP 192.168.1.100:6261 > 192.168.31.185:http PA / Raw
2024-04-21T17:23:09.864465,192.168.1.100,192.168.31.185,34676,100,60,http,normal,80,IP / TCP 192.168.1.100:34676 > 192.168.31.185:http PA / Raw
2024-04-21T17:23:09.873442,192.168.1.100,192.168.31.185,47551,100,60,http,normal,80,IP / TCP 192.168.1.100:47551 > 192.168.31.185:http PA / Raw
